ANTsNeighborhoodCorrelation,Correlation,MeanSquares,MattesMutualInformation,Demons,JointHistogramMutualInformation,Subject,method,init,dofs
-3.364203691482544,-0.7420409321784973,5205996.0,-0.7415832877159119,5598640.0,-3.364203691482544,sub-135S6389,vvregister,rr,12dof
-5.517667293548584,-0.383000910282135,9399013.0,-0.2670153379440307,13726571.0,-5.517667293548584,sub-135S6389,vvregister,coreg,12dof
-5.894562244415283,-0.4421574473381042,8298460.5,-0.3166210949420929,9579308.0,-5.894562244415283,sub-135S6389,vvregister,coreg,9dof
-5.789319515228272,-0.2888218760490417,10482174.0,-0.1933246403932571,18152002.0,-5.789319515228272,sub-135S6389,vvregister,fsl,12dof
-1.8866745233535769,-0.6138601303100586,4775939.5,-0.6615419387817383,7430984.0,-1.8866745233535769,sub-037S6216,bbregister,spm,6dof
-2.3327648639678955,-0.2098703533411026,9765436.0,-0.1663620173931121,22569814.0,-2.3327648639678955,sub-037S6216,bbregister,fsl,9dof
-2.0981385707855225,-0.6183916330337524,4754999.5,-0.6691452860832214,10275650.0,-2.0981385707855225,sub-037S6216,bbregister,coreg,6dof
-2.056891679763794,-0.5620498061180115,5475753.5,-0.5890818238258362,11036879.0,-2.056891679763794,sub-037S6216,bbregister,rr,9dof
-1.976169466972351,-0.612128734588623,4775136.0,-0.6659977436065674,9334873.0,-1.976169466972351,sub-037S6216,bbregister,rr,6dof
-1.6633151769638062,-0.3341982066631317,6284480.0,-0.3177783489227295,22656672.0,-1.6633151769638062,sub-037S6216,bbregister,fsl,6dof
-1.9677101373672483,-0.5608759522438049,5482878.5,-0.5901906490325928,11022659.0,-1.9677101373672483,sub-037S6216,bbregister,spm,9dof
-2.0420680046081543,-0.569887101650238,5421502.5,-0.5998650193214417,11250724.0,-2.0420680046081543,sub-037S6216,bbregister,rr,12dof
-2.04532527923584,-0.5762675404548645,5365853.0,-0.607453465461731,11447352.0,-2.04532527923584,sub-037S6216,bbregister,spm,12dof
-3.062710285186768,-0.1394442766904831,12235104.0,-0.1038996055722236,24116946.0,-3.062710285186768,sub-037S6216,bbregister,coreg,12dof
,,,,,,sub-037S6216,bbregister,coreg,9dof
-2.262134075164795,-0.233627364039421,9510018.0,-0.1885163933038711,14079975.0,-2.262134075164795,sub-037S6216,bbregister,fsl,12dof
-2.018366813659668,-0.6224353909492493,4775257.0,-0.690575897693634,11436427.0,-2.018366813659668,sub-037S6216,mri-coreg,NA,9dof
-1.9338290691375728,-0.6256698369979858,4730257.0,-0.697594165802002,7450347.5,-1.9338290691375728,sub-037S6216,mri-coreg,NA,6dof
-2.0024213790893555,-0.6242344379425049,4775550.0,-0.6941654682159424,7905930.0,-2.0024213790893555,sub-037S6216,mri-coreg,NA,12dof
-2.0152721405029297,-0.6201745271682739,4728967.0,-0.6818533539772034,10376561.0,-2.0152721405029297,sub-037S6216,vvregister,rr,6dof
-1.8690097332000728,-0.5887711644172668,4981344.0,-0.6136615872383118,12809183.0,-1.8690097332000728,sub-037S6216,vvregister,spm,6dof
-2.0280511379241943,-0.625998854637146,4820142.0,-0.6841895580291748,11281114.0,-2.0280511379241943,sub-037S6216,vvregister,rr,9dof
-1.7203011512756348,-0.3285782039165497,6330707.0,-0.2991449534893036,13717413.0,-1.7203011512756348,sub-037S6216,vvregister,fsl,6dof
-2.0350944995880127,-0.5811008214950562,5101991.5,-0.5944762229919434,11773325.0,-2.0350944995880127,sub-037S6216,vvregister,spm,12dof
-1.941575288772583,-0.5882417559623718,5073497.0,-0.6098366975784302,12808361.0,-1.941575288772583,sub-037S6216,vvregister,spm,9dof
-2.0144965648651123,-0.6201565861701965,4729025.0,-0.6818392276763916,10374053.0,-2.0144965648651123,sub-037S6216,vvregister,coreg,6dof
-1.7713404893875122,-0.3507570028305053,6597885.0,-0.305853396654129,18761222.0,-1.7713404893875122,sub-037S6216,vvregister,fsl,9dof
-1.9179213047027588,-0.6265087723731995,4827302.5,-0.6879802942276001,11474648.0,-1.9179213047027588,sub-037S6216,vvregister,rr,12dof
-2.764073848724365,-0.2703228592872619,10509903.0,-0.2049887031316757,15063709.0,-2.764073848724365,sub-037S6216,vvregister,coreg,12dof
